typeofaction	sourceid	destinationid	amountofmoney	date	isfraud	typeoffraud
cash-in	30105	28942	494528	19-07-2019 14:40	1	type1
cash-in	30105	8692	494528	17-05-2019 14:57	1	type1
cash-in	30105	60094	494528	20-07-2019 13:20	1	type1
cash-in	30105	20575	494528	03-07-2019 14:15	1	type1
cash-in	30105	45938	494528	26-05-2019 10:40	1	type1
cash-in	30105	54971	494528	06-04-2019 11:18	1	type1
cash-in	30105	62257	494528	23-04-2019 08:20	1	type1
cash-in	30105	1020	494528	04-07-2019 08:59	1	type1
cash-in	30105	98751	494528	06-05-2019 12:49	1	type1
cash-in	30105	82016	494528	09-06-2019 12:27	1	type1
cash-in	30105	13800	494528	17-04-2019 08:18	1	type1
cash-in	30105	52681	494529	18-07-2019 13:57	1	type1
cash-in	30105	80113	494529	27-03-2019 13:13	1	type1
cash-in	30105	64316	494529	09-06-2019 11:43	1	type1
cash-in	30105	94472	494529	21-02-2019 12:34	1	type1
cash-in	30105	23762	494529	07-04-2019 12:43	1	type1
cash-in	30105	12860	494529	28-04-2019 15:08	1	type1
cash-in	30105	61008	494529	19-04-2019 15:02	1	type1
cash-in	30105	3164	494529	19-05-2019 09:26	1	type1
cash-in	30105	24259	494529	20-04-2019 11:48	1	type1
cash-in	80740	29758	388294	03-05-2019 11:40	1	type1
cash-in	80740	47869	388294	14-06-2019 08:10	1	type1
cash-in	80740	79227	388294	05-03-2019 13:22	1	type1
cash-in	80740	68225	388294	03-03-2019 09:24	1	type1
cash-in	80740	65031	388294	10-03-2019 12:45	1	type1
cash-in	80740	90735	388294	17-07-2019 15:53	1	type1
cash-in	80740	84696	388294	04-03-2019 08:11	1	type1
cash-in	80740	67988	388294	25-05-2019 14:38	1	type1
cash-in	80740	33384	388294	22-05-2019 12:52	1	type1
cash-in	80740	57761	388294	06-05-2019 15:18	1	type1
cash-in	80740	90295	388294	26-06-2019 13:33	1	type1
cash-in	80740	28815	388294	27-04-2019 10:52	1	type1
cash-in	80740	39965	388295	12-06-2019 12:18	1	type1
cash-in	80740	48861	388295	15-03-2019 10:44	1	type1
cash-in	80740	96543	388295	17-07-2019 11:31	1	type1
cash-in	80740	83049	388295	05-03-2019 08:02	1	type1
cash-in	80740	36644	388295	30-05-2019 11:56	1	type1
cash-in	80740	12726	388295	05-04-2019 09:00	1	type1
cash-in	80740	38032	388295	06-06-2019 10:43	1	type1
cash-in	80740	19808	388295	08-06-2019 14:14	1	type1
cash-in	92735	16792	306536	20-06-2019 10:05	1	type1
cash-in	92735	98862	306536	21-03-2019 09:18	1	type1
cash-in	92735	64222	306536	30-03-2019 15:16	1	type1
cash-in	92735	45890	306536	09-05-2019 12:22	1	type1
cash-in	92735	76199	306536	06-05-2019 14:13	1	type1
